"Reference","Qty","Value","LCSC Part #","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C11","2","10uF","C15525","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2","1","22uF","C59461","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C3","1","10nF","C15195 ","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4,C5,C7,C8,C10,C12,C13,C14","8","0.1uF","C1525","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6","1","2.2nF","C1531 ","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9","1","1uF","C14445 ","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1,D9","2","LED","C86881","","","","LED_THT:LED_D3.0mm_Horizontal_O6.35mm_Z2.0mm","~"
"D2","1","3V3 LED","C2286","","","","LED_SMD:LED_0603_1608Metric","~"
"D3,D4,D5,D6","4","SS34","C8678","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D7,D8","2","PMEG2010ER","C82288 ","","","","Diode_SMD:Nexperia_CFP3_SOD-123W","https://assets.nexperia.com/documents/data-sheet/PMEG2010ER.pdf"
"H1,H2,H3,H4","4","MountingHole_Pad","","","Excluded from BOM","","MountingHole:MountingHole_2.5mm_Pad","~"
"J1","1","XT30PW-M","C431092","","","","Sharing_Footprint:AMASS_XT30PW-M",""
"J2","1","VL53L1X ToF Pogo","","","","","mini_drone:POGO 4Pin Pitch 2.54","~"
"J3","1","PMW3901 Optical Flow Pogo","","","","","mini_drone:POGO 6Pin Pitch 2.54","~"
"J4","1","Motor4_Pogo","","","","","mini_drone:POGO 2Pin Pitch 4","~"
"J5","1","Motor1_Pogo","","","","","mini_drone:POGO 2Pin Pitch 4","~"
"J6","1","Motor2_Pogo","","","","","mini_drone:POGO 2Pin Pitch 4","~"
"J7","1","Motor3_Pogo","","","","","mini_drone:POGO 2Pin Pitch 4","~"
"Q1,Q2","2","SS8050","C2150","","","","Package_TO_SOT_SMD:SOT-23","http://www.secosgmbh.com/datasheet/products/SSMPTransistor/SOT-23/SS8050.pdf"
"Q3,Q4,Q5,Q6","4","AO3400","C20917 ","","","","mini_drone:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","https://item.szlcsc.com/datasheet/AO3400/192487.html"
"R1","1","510k","C11616","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R2","1","162k","C185462 ","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R3","1","1000k","C26083 ","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R4,R5","2","4.7k","C25900","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R6,R7","2","5.1k","C25905","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R8,R9,R18","3","510","C25123","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R10,R11,R12,R14,R15,R16,R17","7","10k","C25531","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R13","1","10m","C105366 ","","","","Resistor_SMD:R_2512_6332Metric","~"
"SW1","1","SW_Push","C318938","","","","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~"
"SW2","1","Slide_switch","C109335","","","","mini_drone:SW-SMD_SSSS811101","https://item.szlcsc.com/datasheet/SSSS811101/110556.html"
"U1","1","TPS62085RLTR","C130072","","","","mini_drone:VSON-7_L2.0-W2.0-P0.5-TL","https://www.ti.com/cn/lit/gpn/tps62085"
"U2","1","470nH 6.9mΩ","C531455","","","","mini_drone:IND-SMD_L4.2-W4.0_SPM4030T","https://item.szlcsc.com/datasheet/SPM4030T-R47M-HZ/551616.html"
"U3","1","ESP32-S3-MINI-1","C2913206 ","","","","RF_Module:ESP32-S2-MINI-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-mini-1_mini-1u_datasheet_en.pdf"
"U4","1","MPU-6050","C24112","","","","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://invensense.tdk.com/wp-content/uploads/2015/02/MPU-6000-Datasheet1.pdf"
"U5","1","CH343P","C2846043","","","","Package_DFN_QFN:WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.wch-ic.com/downloads/CH343DS1_PDF.html"
"U6","1","INA236AIDDFR","C5443912 ","","","","mini_drone:SOT-23-8_L2.9-W1.6-P0.65-LS2.8-BR","https://item.szlcsc.com/datasheet/INA236AIDDFR/6333219.html"
"U7","1","USBLC6-2P6","C15999 ","","","","Package_TO_SOT_SMD:SOT-666","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"USB1","1","USB-C 16 Pins","C2765186","","","","Sharing_Footprint:USB-C-SMD_TYPE-C-16PIN","https://item.szlcsc.com/datasheet/TYPE-C%252016PIN%25202MD(073)/2901843.html"
