Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11",0402,2,10uF,C15525
"C10, C12, C13, C14, C4, C5, C7, C8",0402,8,0.1uF,C1525
C15,CP_Elec_6.3x5.4,1,220uF,
C2,0402,1,22uF,C105226
C3,0402,1,10nF,C15195 
C6,0402,1,2.2nF,C1531 
C9,0402,1,1uF,C14445 
"D1, D9",LED_D3.0mm_Horizontal_O6.35mm_Z2.0mm,2,LED,C86881
D2,0603,1,3V3 LED,C2286
"D3, D4, D5, D6",D_SMA,4,SS34,C8678
"D7, D8",Nexperia_CFP3_SOD-123W,2,PMEG2010ER,C82288 
J1,AMASS_XT30PW-M,1,XT30PW-M,C431092
J2,POGO 4Pin Pitch 2.54,1,VL53L1X ToF Pogo,
J3,POGO 6Pin Pitch 2.54,1,PMW3901 Optical Flow Pogo,
J4,POGO 2Pin Pitch 4,1,Motor4_Pogo,
J5,POGO 2Pin Pitch 4,1,Motor1_Pogo,
J6,POGO 2Pin Pitch 4,1,Motor2_Pogo,
J7,POGO 2Pin Pitch 4,1,Motor3_Pogo,
"Q1, Q2",SOT-23,2,SS8050,C2150
"Q3, Q4, Q5, Q6",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,4,AO3400,C20917 
R1,0402,1,510k,C11616
"R10, R11, R12, R14, R15, R16, R17",0402,7,10k,C25531
R13,2512,1,10m,C105366 
"R18, R8, R9",0402,3,510,C25123
R2,0402,1,162k,C185462 
R3,0402,1,1000k,C26083 
"R4, R5",0402,2,4.7k,C25900
"R6, R7",0402,2,5.1k,C25905
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,SW_Push,C318938
SW2,SW-SMD_SSSS811101,1,Slide_switch,C109335
U1,VSON-7_L2.0-W2.0-P0.5-TL,1,TPS62085RLTR,C130072
U2,IND-SMD_L4.2-W4.0_SPM4030T,1,470nH 6.9mΩ,C531455
U3,ESP32-S2-MINI-1,1,ESP32-S3-MINI-1,C2913206 
U4,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,C24112
U5,WCH_QFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,1,CH343P,C2846043
U6,SOT-23-8_L2.9-W1.6-P0.65-LS2.8-BR,1,INA236AIDDFR,C5443912 
U7,SOT-666,1,USBLC6-2P6,C15999 
USB1,USB-C-SMD_TYPE-C-16PIN,1,USB-C 16 Pins,C2765186
