Designator,Mid X,Mid Y,Rotation,Layer
C1,147.25,-118.5,90.0,top
C10,131.3,-78.0,90.0,top
C11,130.2,-78.0,90.0,top
C12,143.75,-122.0,0.0,top
C13,149.2,-76.6,90.0,top
C14,156.5,-119.5,270.0,top
C15,129.6,-111.8,0.0,top
C2,150.2,-117.0,180.0,top
C3,139.2,-103.0,0.0,top
C4,143.4,-99.8,270.0,top
C5,141.1,-103.2,180.0,top
C6,141.3,-96.7,180.0,top
C7,155.9,-116.8,0.0,top
C8,156.5,-111.475,0.0,top
C9,149.0,-79.9,180.0,top
D1,124.67,-80.575,180.0,top
D2,128.4,-76.812499,90.0,top
D3,114.0,-91.5,225.0,top
D4,166.35,-91.65,315.0,top
D5,113.5,-108.0,135.0,top
D6,166.5,-108.0,45.0,top
D7,149.25,-121.5,0.0,top
D8,144.25,-123.75,180.0,top
D9,155.400001,-80.575,180.0,top
J1,129.7,-122.4,180.0,top
J2,160.9882,-99.862993,90.0,bottom
J3,120.072713,-99.895717,270.0,bottom
J4,166.68578648466053,-126.48578629652602,135.0,top
J5,113.41421351533947,-73.31421370347398,315.0,top
J6,166.685786296526,-73.21421351533947,225.0,top
J7,113.41421370347399,-126.58578648466053,45.0,top
Q1,153.599998,-110.150999,180.0,top
Q2,155.5,-107.3,0.0,top
Q3,113.0,-98.0,225.0,top
Q4,166.942893,-97.592893,315.0,top
Q5,112.95,-101.95,135.0,top
Q6,166.899817,-101.900184,45.0,top
R1,152.180132,-116.967486,0.0,top
R10,158.4,-107.870998,270.0,top
R11,150.7,-110.150999,90.0,top
R12,149.9,-81.2,0.0,top
R13,139.5,-120.5,90.0,top
R14,114.660589,-96.160589,315.0,top
R15,165.35,-95.8,45.0,top
R16,114.8,-103.85,225.0,top
R17,165.3,-103.6,135.0,top
R18,154.2,-82.8,90.0,top
R2,152.180132,-117.938641,0.0,top
R3,152.176077,-118.887763,0.0,top
R4,129.1,-86.9,180.0,top
R5,129.1,-88.0,180.0,top
R6,155.77,-121.75,0.0,top
R7,152.087215,-121.550219,90.0,top
R8,123.8,-82.4,180.0,top
R9,128.0,-79.32,270.0,top
SW1,152.4,-87.6,90.0,top
SW2,141.9,-127.325,0.0,top
U1,149.599999,-118.650499,180.0,top
U2,145.4,-115.0,0.0,top
U3,140.0,-80.1,0.0,top
U4,140.011049,-99.857425,0.0,top
U5,156.55,-114.1875,270.0,top
U6,144.5,-119.935,0.0,top
U7,154.75,-119.5,90.0,top
USB1,153.5,-125.9865,0.0,top
